FLT_ARL_IATA,FLT_ROUTE,FLT_DATE,FLT_AIRCRAFT
HY,Naples to Santorini,October 2021,NONE
HY,Heraklion to Thessaloniki,September 2021,A320
HY,Corfu to Athens,September 2021,DHC-8 400 Series
HY,Rhodes to Geneva via Athens,September 2021,Oa 201
HY,Sofia to Thessaloniki via Athens,September 2021,NONE
HY,Zurich to Athens,September 2021,NONE
HY,Larnaca to London Heathrow via Athens,September 2021,A321
NH,Seattle to Dublin,August 2022,NONE
NH,Dublin to Orlando via Cork,July 2023,A300-300
NH,Alicante to Dublin,July 2023,Airbus
NH,Southampton to Dublin,July 2023,NONE
NH,Edinburgh to Belfast,July 2023,NONE
NH,Dublin to London,May 2023,A320
NH,Dublin to Philadelphia,July 2023,NONE
NH,Dublin to New York,June 2023,A330
NH,Paris to New York via Dublin,June 2023,NONE
NH,Naples to Washington via Dublin,August 2022,NONE
NH,Chicago to Dublin,June 2023,NONE
NH,Boston to Athens via Dublin,June 2023,NONE
NH,Cork to Dubrovnik,June 2023,A320
NH,New York to Naples via Dublin ,June 2023,NONE
NH,Manchester to New York JFK,May 2023,NONE
NH,Dublin to San Francisco,June 2023,A330
NH,Washington to Naples via Dublin,June 2023,NONE
NH,New York JFK to Manchester,June 2023,A330
NH,Orlando to Dublin,May 2023,A330
NH,London Heathrow to Shannon,June 2023,NONE
NH,Boston to Amsterdam via Dublin ,March 2023,NONE
NH,Dublin to Boston,May 2023,NONE
NH,Dublin to London,June 2023,A320 neo
NH,Edinburgh to Toronto via Dublin,May 2023,NONE
NH,Edinburgh to Dublin,May 2023,NONE
NH,Chicago to Zurich via Dublin,May 2023,NONE
NH,Boston to Naples via Dublin,May 2023,A330
NH,Dublin to Geneva,May 2023,NONE
NH,San Francisco to Dublin,May 2023,NONE
NH,Los Angeles to Dublin,May 2023,NONE
NH,Manchester to New York JFK ,May 2023,A330
NH,New York to Frankfurt via Dublin,May 2023,A320
NH,Berlin to Dublin,May 2023,NONE
NH,Dublin to Dublin via Alicante airport,May 2023,Airbus
NH,Toronto to London via Dublin,August 2022,NONE
NH,Hartford to Dublin,April 2023,A330
NH,London Heathrow to Shannon,April 2023,NONE
NH,Gatwick to Orlando via Dublin,April 2023,A321
NH,Dublin to Edinburgh,April 2023,NONE
NH,Dublin to Hartford,April 2023,NONE
NH,Dublin to Newark,April 2023,NONE
NH,London Heathrow to Cork,February 2023,A320
NH,Los Angeles to Paris via Dublin,September 2022,NONE
NH,London Heathrow to Belfast,January 2023,NONE
NH,Paris to San Francisco via Dublin,December 2022,A330-300
NH,Washington to Glasgow via Dublin,January 2023,A321
NH,Manchester to New York JFK,December 2022,NONE
NH,Toronto to Birmingham via Dublin,December 2022,NONE
NH,Dublin to Boston,September 2022,NONE
NH,Washington to London via Dublin,December 2022,NONE
NH,Paris to Boston via Dublin,December 2022,NONE
NH,Chicago to Dublin,December 2022,NONE
NH,Dublin to Glasgow,December 2022,NONE
NH,Dublin to Seattle,December 2022,NONE
NH,Belfast City to Southampton,November 2022,NONE
NH,Dublin to Boston,November 2022,A330
NH,Chicago to Venice via Dublin,September 2022,NONE
NH,Dublin to London ,July 2022,NONE
NH,Orlando to Manchester via New York / Dublin,November 2022,NONE
NH,London to Dublin ,July 2022,NONE
NH,Boston to London via Shannon,June 2022,A321NEO
NH,Dublin to London Gatwick,October 2022,NONE
NH,Rome to Dublin,October 2022,NONE
NH,Dublin to Chicago,October 2022,NONE
NH,Philadelphia to Edinburgh via Dublin,October 2022,NONE
NH,Seattle to Dublin,July 2022,NONE
NH,Chicago to Amsterdam via Dublin,September 2022,NONE
NH,Dublin to Lisbon,September 2022,Airbus 320
NH,Edinburgh to New York JFK via Dublin,June 2022,NONE
NH,Birmingham to Philadelphia via Dublin,September 2022,NONE
NH,Philadelphia to Dublin,July 2022,NONE
NH,Chicago to Dublin ,September 2022,NONE
NH,Dublin to Birmingham,September 2022,Emerald
NH,Geneva to Dublin,September 2022,NONE
NH,Dublin to Washington,September 2022,A321
NH,Toronto to Dublin,September 2022,NONE
NH,Orlando to Rome via Dublin,September 2022,NONE
NH,Dublin to Los Angeles,September 2022,NONE
NH,Dublin to New York JFK,September 2022,A330-300
NH,Paris to New York via Dublin,September 2022,NONE
NH,Dublin to Washington Dulles,July 2022,A321neo
NH,San Francisco to Paris via Dublin,September 2022,NONE
NH,Dublin to Chicago,August 2022,A-330
NH,Gatwick to Dublin,August 2022,NONE
NH,Santiago de Compostela to Dublin,August 2022,A320
NH,Toronto to Dublin,May 2022,NONE
NH,Chicago to Hamburg via Dublin,August 2022,A330/A321
